     1→import '../../../../core/errors/exceptions.dart';
     2→import '../../../../core/errors/failures.dart';
     3→import '../../../../core/utils/result.dart';
     4→import '../../domain/entities/marketplace_entities.dart';
     5→import '../../domain/repositories/marketplace_repository.dart';
     6→import '../datasources/marketplace_remote_datasource.dart';
     7→import '../models/marketplace_models.dart';
     8→
     9→class MarketplaceRepositoryImpl implements MarketplaceRepository {
    10→  MarketplaceRepositoryImpl({required this.remoteDataSource});
   126→    } on AuthException catch (e) {
   127→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   128→    } on ServerException catch (e) {
   129→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   130→    } on NetworkException catch (e) {
   131→      return FailureResult(Failure.network(message: e.message));
   132→    } catch (e) {
   133→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   134→    }
   135→  }
   136→
   137→  @override
   138→  Future<Result<SellerProfileEntity>> updateSellerStatus(
   139→    String sellerId,
   140→    MarketplaceSellerStatus status,
   141→  ) async {
   142→    try {
   143→      final model = await remoteDataSource.updateSellerStatus(
   144→        sellerId,
   145→        status.value,
   146→      );
   147→      return Success(model.toEntity());
   148→    } on AuthException catch (e) {
   149→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   150→    } on ServerException catch (e) {
   151→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   152→    } on NetworkException catch (e) {
   153→      return FailureResult(Failure.network(message: e.message));
   154→    } catch (e) {
   155→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   156→    }
   157→  }
   158→
   159→  @override
   160→  Future<Result<List<SellerProfileEntity>>> getSellers({
   161→    MarketplaceSellerStatus? status,
   162→    int limit = 20,
   163→    int offset = 0,
   164→  }) async {
   165→    try {
   166→      final models = await remoteDataSource.getSellers(
   167→        status: status?.value,
   168→        limit: limit,
   169→        offset: offset,
   170→      );
   171→      return Success(models.map((m) => m.toEntity()).toList());
   172→    } on AuthException catch (e) {
   173→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   174→    } on ServerException catch (e) {
   175→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   176→    } on NetworkException catch (e) {
   177→      return FailureResult(Failure.network(message: e.message));
   178→    } catch (e) {
   179→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   180→    }
   181→  }
   182→
   183→  // ─── Products ────────────────────────────────────────────────────────
   184→
   185→  @override
   186→  Future<Result<List<MarketplaceProductEntity>>> getProducts({
   187→    MarketplaceProductStatus? status,
   188→    MarketplaceProductType? productType,
   189→    String? categoryId,
   190→    String? sellerId,
   191→    String? subject,
   192→    String? classLevel,
   193→    String? curriculum,
   194→    String? search,
   195→    String? sortBy,
   196→    int limit = 20,
   197→    int offset = 0,
   198→  }) async {
   199→    try {
   200→      final models = await remoteDataSource.getProducts(
   201→        status: status?.value,
   202→        productType: productType?.value,
   203→        categoryId: categoryId,
   204→        sellerId: sellerId,
   205→        subject: subject,
   206→        classLevel: classLevel,
   207→        curriculum: curriculum,
   208→        search: search,
   209→        sortBy: sortBy,
   210→        limit: limit,
   211→        offset: offset,
   212→      );
   213→      return Success(models.map((m) => m.toEntity()).toList());
   214→    } on AuthException catch (e) {
   215→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   216→    } on ServerException catch (e) {
   217→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   218→    } on NetworkException catch (e) {
   219→      return FailureResult(Failure.network(message: e.message));
   220→    } catch (e) {
   221→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   222→    }
   223→  }
   224→
   225→  @override
   226→  Future<Result<MarketplaceProductEntity>> getProduct(String productId) async {
   227→    try {
   228→      final model = await remoteDataSource.getProduct(productId);
   229→      return Success(model.toEntity());
   230→    } on AuthException catch (e) {
   231→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   232→    } on ServerException catch (e) {
   233→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   234→    } on NetworkException catch (e) {
   235→      return FailureResult(Failure.network(message: e.message));
   236→    } catch (e) {
   237→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   238→    }
   239→  }
   240→
   241→  @override
   242→  Future<Result<MarketplaceProductEntity>> getProductBySlug(String slug) async {
   243→    try {
   244→      final model = await remoteDataSource.getProductBySlug(slug);
   245→      return Success(model.toEntity());
   246→    } on AuthException catch (e) {
   247→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   248→    } on ServerException catch (e) {
   249→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   250→    } on NetworkException catch (e) {
   251→      return FailureResult(Failure.network(message: e.message));
   252→    } catch (e) {
   253→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   254→    }
   255→  }
   256→
   257→  @override
   258→  Future<Result<MarketplaceProductEntity>> createProduct(
   259→    MarketplaceProductEntity product,
   260→  ) async {
   261→    try {
   262→      final model = MarketplaceProductModel.fromEntity(product);
   263→      final result = await remoteDataSource.createProduct(model);
   264→      return Success(result.toEntity());
   265→    } on AuthException catch (e) {
   266→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   267→    } on ServerException catch (e) {
   268→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   269→    } on NetworkException catch (e) {
   270→      return FailureResult(Failure.network(message: e.message));
   271→    } catch (e) {
   272→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   273→    }
   274→  }
   275→
   276→  @override
   277→  Future<Result<MarketplaceProductEntity>> updateProduct(
   278→    MarketplaceProductEntity product,
   279→  ) async {
   280→    try {
   281→      final model = MarketplaceProductModel.fromEntity(product);
   282→      final result = await remoteDataSource.updateProduct(model);
   283→      return Success(result.toEntity());
   284→    } on AuthException catch (e) {
   285→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   286→    } on ServerException catch (e) {
   287→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   288→    } on NetworkException catch (e) {
   289→      return FailureResult(Failure.network(message: e.message));
   290→    } catch (e) {
   291→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   292→    }
   293→  }
   294→
   295→  @override
   296→  Future<Result<bool>> deleteProduct(String productId) async {
   297→    try {
   298→      final result = await remoteDataSource.deleteProduct(productId);
   299→      return Success(result);
   300→    } on AuthException catch (e) {
   301→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   302→    } on ServerException catch (e) {
   303→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   304→    } on NetworkException catch (e) {
   305→      return FailureResult(Failure.network(message: e.message));
   306→    } catch (e) {
   307→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   308→    }
   309→  }
   310→
   311→  @override
   312→  Future<Result<MarketplaceProductEntity>> updateProductStatus(
   313→    String productId,
   314→    MarketplaceProductStatus status,
   315→  ) async {
   316→    try {
   317→      final model = await remoteDataSource.updateProductStatus(
   318→        productId,
   319→        status.value,
   320→      );
   321→      return Success(model.toEntity());
   322→    } on AuthException catch (e) {
   323→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   324→    } on ServerException catch (e) {
   325→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   326→    } on NetworkException catch (e) {
   327→      return FailureResult(Failure.network(message: e.message));
   328→    } catch (e) {
   329→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   330→    }
   331→  }
   332→
   333→  @override
   334→  Future<Result<MarketplaceProductEntity>> featureProduct(
   335→    String productId,
   336→    bool featured,
   337→  ) async {
   338→    try {
   339→      final model = await remoteDataSource.featureProduct(productId, featured);
   340→      return Success(model.toEntity());
   341→    } on AuthException catch (e) {
   342→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   343→    } on ServerException catch (e) {
   344→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   345→    } on NetworkException catch (e) {
   346→      return FailureResult(Failure.network(message: e.message));
   347→    } catch (e) {
   348→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   349→    }
   350→  }
   351→
   352→  @override
   353→  Future<Result<bool>> incrementProductView(String productId) async {
   354→    try {
   355→      final result = await remoteDataSource.incrementProductView(productId);
   356→      return Success(result);
   357→    } on AuthException catch (e) {
   358→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   359→    } on ServerException catch (e) {
   360→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   361→    } on NetworkException catch (e) {
   362→      return FailureResult(Failure.network(message: e.message));
   363→    } catch (e) {
   364→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   365→    }
   366→  }
   367→
   368→  @override
   369→  Future<Result<List<MarketplaceProductEntity>>> getSellerProducts(
   370→    String sellerId, {
   371→    int limit = 20,
   372→    int offset = 0,
   373→  }) async {
   374→    try {
   375→      final models = await remoteDataSource.getSellerProducts(
   376→        sellerId,
   377→        limit: limit,
   378→        offset: offset,
   379→      );
   380→      return Success(models.map((m) => m.toEntity()).toList());
   381→    } on AuthException catch (e) {
   382→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   383→    } on ServerException catch (e) {
   384→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   385→    } on NetworkException catch (e) {
   386→      return FailureResult(Failure.network(message: e.message));
   387→    } catch (e) {
   388→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   389→    }
   390→  }
   391→
   392→  @override
   393→  Future<Result<List<MarketplaceProductEntity>>> getFeaturedProducts({
   394→    int limit = 10,
   395→  }) async {
   396→    try {
   397→      final models = await remoteDataSource.getFeaturedProducts(limit: limit);
   398→      return Success(models.map((m) => m.toEntity()).toList());
   399→    } on AuthException catch (e) {
   400→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   401→    } on ServerException catch (e) {
   402→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   403→    } on NetworkException catch (e) {
   404→      return FailureResult(Failure.network(message: e.message));
   405→    } catch (e) {
   406→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   407→    }
   408→  }
   409→
   410→  @override
   411→  Future<Result<List<MarketplaceProductEntity>>> getRelatedProducts(
   412→    String productId, {
   413→    int limit = 10,
   414→  }) async {
   415→    try {
   416→      final models = await remoteDataSource.getRelatedProducts(
   417→        productId,
   418→        limit: limit,
   419→      );
   420→      return Success(models.map((m) => m.toEntity()).toList());
   421→    } on AuthException catch (e) {
   422→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   423→    } on ServerException catch (e) {
   424→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   425→    } on NetworkException catch (e) {
   426→      return FailureResult(Failure.network(message: e.message));
   427→    } catch (e) {
   428→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   429→    }
   430→  }
   431→
   432→  // ─── Product Versions ────────────────────────────────────────────────
   433→
   434→  @override
   435→  Future<Result<List<ProductVersionEntity>>> getProductVersions(
   436→    String productId,
   437→  ) async {
   438→    try {
   439→      final models = await remoteDataSource.getProductVersions(productId);
   440→      return Success(models.map((m) => m.toEntity()).toList());
   441→    } on AuthException catch (e) {
   442→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   443→    } on ServerException catch (e) {
   444→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   445→    } on NetworkException catch (e) {
   446→      return FailureResult(Failure.network(message: e.message));
   447→    } catch (e) {
   448→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   449→    }
   450→  }
   451→
   452→  @override
   453→  Future<Result<ProductVersionEntity>> createProductVersion(
   454→    ProductVersionEntity version,
   455→  ) async {
   456→    try {
   457→      final model = ProductVersionModel.fromEntity(version);
   458→      final result = await remoteDataSource.createProductVersion(model);
   459→      return Success(result.toEntity());
   460→    } on AuthException catch (e) {
   461→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   462→    } on ServerException catch (e) {
   463→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   464→    } on NetworkException catch (e) {
   465→      return FailureResult(Failure.network(message: e.message));
   466→    } catch (e) {
   467→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   468→    }
   469→  }
   470→
   471→  // ─── Shopping Cart ───────────────────────────────────────────────────
   472→
   473→  @override
   474→  Future<Result<CartEntity>> getCart(String userId) async {
   475→    try {
   476→      final model = await remoteDataSource.getCart(userId);
   477→      return Success(model.toEntity());
   478→    } on AuthException catch (e) {
   479→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   480→    } on ServerException catch (e) {
   481→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   482→    } on NetworkException catch (e) {
   483→      return FailureResult(Failure.network(message: e.message));
   484→    } catch (e) {
   485→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   486→    }
   487→  }
   488→
   489→  @override
   490→  Future<Result<CartEntity>> addToCart(
   491→    String userId,
   492→    CartItemEntity item,
   493→  ) async {
   494→    try {
   495→      final itemModel = CartItemModel.fromEntity(item);
   496→      final cartItemModel = await remoteDataSource.addToCart(userId, itemModel);
   497→      // Re-fetch the full cart after adding an item to return the complete cart
   498→      final cartModel = await remoteDataSource.getCart(userId);
   499→      return Success(cartModel.toEntity());
   500→    } on AuthException catch (e) {
   501→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   502→    } on ServerException catch (e) {
   503→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   504→    } on NetworkException catch (e) {
   505→      return FailureResult(Failure.network(message: e.message));
   506→    } catch (e) {
   507→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   508→    }
   509→  }
   510→
   511→  @override
   512→  Future<Result<CartItemEntity>> updateCartItem(CartItemEntity item) async {
   513→    try {
   514→      final model = CartItemModel.fromEntity(item);
   515→      final result = await remoteDataSource.updateCartItem(model);
   516→      return Success(result.toEntity());
   517→    } on AuthException catch (e) {
   518→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   519→    } on ServerException catch (e) {
   520→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   521→    } on NetworkException catch (e) {
   522→      return FailureResult(Failure.network(message: e.message));
   523→    } catch (e) {
   524→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   525→    }
   526→  }
   527→
   528→  @override
   529→  Future<Result<bool>> removeFromCart(String cartItemId) async {
   530→    try {
   531→      final result = await remoteDataSource.removeFromCart(cartItemId);
   532→      return Success(result);
   533→    } on AuthException catch (e) {
   534→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   535→    } on ServerException catch (e) {
   536→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   537→    } on NetworkException catch (e) {
   538→      return FailureResult(Failure.network(message: e.message));
   539→    } catch (e) {
   540→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   541→    }
   542→  }
   543→
   544→  @override
   545→  Future<Result<bool>> clearCart(String userId) async {
   546→    try {
   547→      final result = await remoteDataSource.clearCart(userId);
   548→      return Success(result);
   549→    } on AuthException catch (e) {
   550→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   551→    } on ServerException catch (e) {
   552→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   553→    } on NetworkException catch (e) {
   554→      return FailureResult(Failure.network(message: e.message));
   555→    } catch (e) {
   556→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   557→    }
   558→  }
   559→
   560→  // ─── Orders ──────────────────────────────────────────────────────────
   561→
   562→  @override
   563→  Future<Result<MarketplaceOrderEntity>> createOrder(
   564→    MarketplaceOrderEntity order,
   565→  ) async {
   566→    try {
   567→      final model = MarketplaceOrderModel.fromEntity(order);
   568→      final result = await remoteDataSource.createOrder(model);
   569→      return Success(result.toEntity());
   570→    } on AuthException catch (e) {
   571→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   572→    } on ServerException catch (e) {
   573→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   574→    } on NetworkException catch (e) {
   575→      return FailureResult(Failure.network(message: e.message));
   576→    } catch (e) {
   577→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   578→    }
   579→  }
   580→
   581→  @override
   582→  Future<Result<MarketplaceOrderEntity>> getOrder(String orderId) async {
   583→    try {
   584→      final model = await remoteDataSource.getOrder(orderId);
   585→      return Success(model.toEntity());
   586→    } on AuthException catch (e) {
   587→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   588→    } on ServerException catch (e) {
   589→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   590→    } on NetworkException catch (e) {
   591→      return FailureResult(Failure.network(message: e.message));
   592→    } catch (e) {
   593→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   594→    }
   595→  }
   596→
   597→  @override
   598→  Future<Result<MarketplaceOrderEntity>> getOrderByNumber(
   599→    String orderNumber,
   600→  ) async {
   601→    try {
   602→      final model = await remoteDataSource.getOrderByNumber(orderNumber);
   603→      return Success(model.toEntity());
   604→    } on AuthException catch (e) {
   605→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   606→    } on ServerException catch (e) {
   607→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   608→    } on NetworkException catch (e) {
   609→      return FailureResult(Failure.network(message: e.message));
   610→    } catch (e) {
   611→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   612→    }
   613→  }
   614→
   615→  @override
   616→  Future<Result<List<MarketplaceOrderEntity>>> getUserOrders(
   617→    String buyerId, {
   618→    int limit = 20,
   619→    int offset = 0,
   620→  }) async {
   621→    try {
   622→      final models = await remoteDataSource.getUserOrders(
   623→        buyerId,
   624→        limit: limit,
   625→        offset: offset,
   626→      );
   627→      return Success(models.map((m) => m.toEntity()).toList());
   628→    } on AuthException catch (e) {
   629→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   630→    } on ServerException catch (e) {
   631→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   632→    } on NetworkException catch (e) {
   633→      return FailureResult(Failure.network(message: e.message));
   634→    } catch (e) {
   635→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   636→    }
   637→  }
   638→
   639→  @override
   640→  Future<Result<MarketplaceOrderEntity>> updateOrderStatus(
   641→    String orderId,
   642→    MarketplaceOrderStatus status,
   643→  ) async {
   644→    try {
   645→      final model = await remoteDataSource.updateOrderStatus(
   646→        orderId,
   647→        status.value,
   648→      );
   649→      return Success(model.toEntity());
   650→    } on AuthException catch (e) {
   651→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   652→    } on ServerException catch (e) {
   653→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   654→    } on NetworkException catch (e) {
   655→      return FailureResult(Failure.network(message: e.message));
   656→    } catch (e) {
   657→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   658→    }
   659→  }
   660→
   661→  @override
   662→  Future<Result<MarketplaceOrderEntity>> verifyPayment(String txRef) async {
   663→    try {
   664→      final model = await remoteDataSource.verifyPayment(txRef);
   665→      return Success(model.toEntity());
   666→    } on AuthException catch (e) {
   667→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   668→    } on ServerException catch (e) {
   669→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   670→    } on NetworkException catch (e) {
   671→      return FailureResult(Failure.network(message: e.message));
   672→    } catch (e) {
   673→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   674→    }
   675→  }
   676→
   677→  // ─── Purchases ───────────────────────────────────────────────────────
   678→
   679→  @override
   680→  Future<Result<List<MarketplacePurchaseEntity>>> getUserPurchases(
   681→    String buyerId, {
   682→    int limit = 20,
   683→    int offset = 0,
   684→  }) async {
   685→    try {
   686→      final models = await remoteDataSource.getUserPurchases(
   687→        buyerId,
   688→        limit: limit,
   689→        offset: offset,
   690→      );
   691→      return Success(models.map((m) => m.toEntity()).toList());
   692→    } on AuthException catch (e) {
   693→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   694→    } on ServerException catch (e) {
   695→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   696→    } on NetworkException catch (e) {
   697→      return FailureResult(Failure.network(message: e.message));
   698→    } catch (e) {
   699→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   700→    }
   701→  }
   702→
   703→  @override
   704→  Future<Result<MarketplacePurchaseEntity>> getPurchase(
   705→    String purchaseId,
   706→  ) async {
   707→    try {
   708→      final model = await remoteDataSource.getPurchase(purchaseId);
   709→      return Success(model.toEntity());
   710→    } on AuthException catch (e) {
   711→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   712→    } on ServerException catch (e) {
   713→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   714→    } on NetworkException catch (e) {
   715→      return FailureResult(Failure.network(message: e.message));
   716→    } catch (e) {
   717→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   718→    }
   719→  }
   720→
   721→  @override
   722→  Future<Result<bool>> verifyPurchase(
   723→    String buyerId,
   724→    String productId,
   725→  ) async {
   726→    try {
   727→      final result = await remoteDataSource.verifyPurchase(buyerId, productId);
   728→      return Success(result);
   729→    } on AuthException catch (e) {
   730→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   731→    } on ServerException catch (e) {
   732→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   733→    } on NetworkException catch (e) {
   734→      return FailureResult(Failure.network(message: e.message));
   735→    } catch (e) {
   736→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   737→    }
   738→  }
   739→
   740→  @override
   741→  Future<Result<bool>> recordDownload(String purchaseId) async {
   742→    try {
   743→      await remoteDataSource.recordDownload(purchaseId);
   744→      return Success(true);
   745→    } on AuthException catch (e) {
   746→      return FailureResult(Failure.auth(message: e.message, code: e.code));
   747→    } on ServerException catch (e) {
   748→      return FailureResult(Failure.server(message: e.message, statusCode: e.statusCode ?? 500));
   749→    } on NetworkException catch (e) {
   750→      return FailureResult(Failure.network(message: e.message));
   751→    } catch (e) {
   752→      return FailureResult(Failure.server(message: 'Unexpected error: $e', statusCode: 500));
   753→    }
   754→  }
   755→
   756→  // ─── Reviews & Ratings ───────────────────────────────────────────────
   757→
   758→  @override
   759→  Future<Result<List<MarketplaceReviewEntity>>> getProductReviews(
   760→    String productId, {
   761→    int limit = 20,
